Character,Reading
㸎,niè
㸒,yín jīng
㸖,qū
㸗,tóng
㸙,zhē
㸚,lǐ lì
㸛,sháo
㸜,kòng
㸝,xiān kǎn
㸞,zhé
㸟,zhī
㸡,shū
㸢,bèi
㸣,yè
㸤,piàn
㸥,chàn
㸦,hù jià
㸨,jiū
㸩,ān
㸪,chún
㸬,bèi
㸭,bā
㸮,fén
㸯,kē
㸲,zuó
㸵,guǐ
㸶,yān
㸸,hǒu ǒu kǒu
㸹,liè luō
㸺,shā
㸻,sì
㹀,bó
㹁,liáng
㹂,qiǎn
㹃,fèi
㹄,jì
㹆,huī
㹇,hé jiān
㹉,yuán wán
㹊,yuè
㹋,xiū
㹌,chǎn shèng
㹍,dí
㹎,léi
㹏,jǐn
㹐,chóng
㹑,sì
㹒,pǔ
㹓,yǎo
㹔,jiāng
㹕,huān
㹗,tāo
㹘,rù
㹙,wěng
㹛,ráo
㹜,yín
㹞,yín yǐn yá
㹟,jué kuài
㹡,xuán
㹢,jiā gā
㹣,zhōng
㹥,zhù
㹦,diāo
㹫,yí
㹬,shǐ
㹭,yì
㹮,mò
㹱,què
㹲,xiāo xiào
㹳,wú
㹴,gēng
㹵,yǐng
㹶,tíng
㹹,gēng
㹻,wō wēi
㹼,jú
㹽,chǎn
㹾,piǎo jiào
㹿,zhuó zhào
㺀,náo hū
㺁,nǎo
㺂,yán gǎn
㺄,yú yǔ
㺇,sī
㺈,chī
㺉,hù
㺊,yàng
㺋,wēng
㺌,xiàn
㺐,lǎo sāo
㺑,shān shàn sāo shǎn
㺒,xiāo nǎo qiāo xiào
㺓,zé
㺔,hài huī
㺕,fán biàn
㺖,hǎn
㺗,chān
㺘,zhàn
㺛,zhù
㺜,nóng
㺝,hàn
㺞,yú
㺟,zhuó
㺢,huō
㺣,xī
㺤,xiān
㺥,chán
㺨,sī
㺩,jiù qiú
㺭,zǐ
㺱,réng
㺲,niǔ
㺴,bā
